"time","depth","dive_num"
47334.36,-0.229898571725656,1
47334.38,-0.207990887344822,1
47334.4,-0.186291203259004,1
47334.42,-0.164850409603414,1
47334.44,-0.143720295948136,1
47334.46,-0.122953165044691,1
47334.48,-0.102601437252371,1
47334.5,-0.0827172493201257,1
47334.52,-0.0633520512713302,1
47334.54,-0.0445562051711809,1
47334.56,-0.0263785895476335,1
47334.58,-0.00886621318775298,1
47334.6,0.00793615805730108,1
47334.62,0.0239863579534933,1
47334.64,0.0392451567118654,1
47334.66,0.0536765748242372,1
47334.68,0.0672481710027575,1
47334.7,0.0799313015834829,1
47334.72,0.0917013490467783,1
47334.74,0.102537917624003,1
47334.76,0.112424994296392,1
47334.78,0.121351073845151,1
47334.8,0.129309246977315,1
47334.82,0.136297250925433,1
47334.84,0.142317482296425,1
47334.86,0.147376972321394,1
47334.88,0.151487325029951,1
47334.9,0.154664619235352,1
47334.92,0.156929275565675,1
47334.94,0.158305890109089,1
47334.96,0.15882303655183,1
47334.98,0.158513038976009,0
47335,0.157411717743485,0
47335.02,0.155558111123266,0
47335.04,0.152994175517958,0
47335.06,0.149764467309295,0
47335.08,0.145915809472024,0
47335.1,0.141496946198279,0
47335.12,0.136558188830696,0
47335.14,0.131151056422307,0
47335.16,0.125327914223657,0
47335.18,0.119141613346049,0
47335.2,0.112645134762667,0
47335.22,0.105891240690741,0
47335.24,0.0989321362483915,0
47335.26,0.0918191441026308,0
47335.28,0.0846023946224641,0
47335.3,0.0773305338263824,0
47335.32,0.070050451169934,0
47335.34,0.0628070289595376,0
47335.36,0.0556429149075351,0
47335.38,0.048598319062874,0
47335.4,0.0417108360672054,0
47335.42,0.0350152933998088,0
47335.44,0.0285436259900934,0
47335.46,0.0223247772977427,0
47335.48,0.0163846266903174,0
47335.5,0.0107459426896817,0
47335.52,0.00542836141432487,0
47335.54,0.00044838931785649,0
47335.56,-0.00418057088412254,0
47335.58,-0.00844817239357123,0
47335.6,-0.0123470560751771,0
47335.62,-0.0158727633666918,0
47335.64,-0.0190236320699698,0
47335.66,-0.0218006768294284,0
47335.68,-0.0242074561700578,0
47335.7,-0.026249928008213,0
47335.72,-0.0279362955644481,0
47335.74,-0.0292768456005249,0
47335.76,-0.0302837808735897,0
47335.78,-0.0309710486493503,0
47335.8,-0.0313541670468798,0
47335.82,-0.0314500509001139,0
47335.84,-0.0312768387187128,0
47335.86,-0.0308537222151803,0
47335.88,-0.0302007797378406,0
47335.9,-0.0293388148144066,0
47335.92,-0.0282892008684355,0
47335.94,-0.0270737330254342,0
47335.96,-0.0257144877774525,0
47335.98,-0.0242336911279273,0
47336,-0.0226535956934129,0
47336.02,-0.0209963670988091,0
47336.04,-0.019283979868188,0
47336.06,-0.0175381228867693,0
